#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3148.85507025174     All      -0.14156408951588045      0.08530603940037906        0.349611271284056         0.08950061012448704        
Zeropoint     AB|SDSS|SDSS_r            5410.499700047749    All      0.8042084666247363        0.2867377772641788         -1.7052607527087593       -0.244655183218781         
Zeropoint     AB|SDSS|SDSS_z            7800.691981579383    All      0.11470480362590522       -0.003800293325539883      0.15016348460662465       -0.03189990213691776       
Zeropoint     AB|SDSS|SDSS_i            6561.176545345675    All      1.0012081549765517        -0.0022199827808933037     0.9100976808567474        -0.28623607670360607       
Zeropoint     AB|SDSS|SDSS_g            4140.579570607991    All      -0.7910513909438194       0.6383662536761037         0.330373865402922         0.48035142155704347        
Check         All|All|All               All                  All      0.9875059447674933        1.0043897942342284         0.03498554944159071       0.007060869622225685       
Lambda        AB|SDSS|SDSS_u            3148.85507025174     All      -7.999357305780175e-05    3.0906888260294215e-05     3.822634914024462e-05     3.7829795162967256e-05     
Lambda        AB|SDSS|SDSS_r            5410.499700047749    All      0.00026389990685041925    9.938259732488606e-05      3.105486194409344e-05     -5.2202864312440506e-05    
Lambda        AB|SDSS|SDSS_z            7800.691981579383    All      7.035377558709404e-06     -1.2662535833214637e-06    -2.192468880353714e-06    -2.8019541949965238e-06    
Lambda        AB|SDSS|SDSS_i            6561.176545345675    All      -0.0003786348276754866    -9.69927566718734e-07      -0.0004928312034456766    0.00010102508965365152     
Lambda        AB|SDSS|SDSS_g            4140.579570607991    All      -0.0005979680912588776    0.0003241516543572327      -0.0011521471737025914    0.0002489497012439268      
MWEBV         All|All|All               All                  All      -0.7085643380952238       -3.422179641904499         0.27340910262761975       -0.8717127872147531        
Redshift      All|All|All               All                  All      4.509830974450645         -0.539192241094355         2.1755649274767808        -1.547547498527909         
