#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4285.826878742678     All      -0.5788695220652851        0.5420570783636336         -0.5471283658040569        0.340706845053343         
Zeropoint     AB|SDSS|SDSS_r            5600.294511062592     All      0.5860958921799982         0.2616169312091188         -1.9497642493163891        -0.19270249613264653      
Zeropoint     AB|SDSS|SDSS_i            6791.335926455688     All      0.9790312486162179         0.062397747819531446       1.7079833315652384         -0.2223582359518726       
Zeropoint     AB|SDSS|SDSS_u            3259.3136944276707    All      -0.13898407972111038       0.13456318149458468        0.5483690312439472         0.11357453371208985       
Zeropoint     AB|SDSS|SDSS_z            8074.332299943284     All      0.14721326738676704        -1.780084026847817e-05     0.2568670615071426         -0.03649520547249413      
Check         All|All|All               All                   All      0.9944868063965877         1.0006171380466            0.016326809195882197       0.0027254412084195684     
Lambda        AB|SDSS|SDSS_g            4285.826878742678     All      -0.00023025197193870628    0.00014095585226671573     -0.0007881939411301815     8.574112516957236e-05     
Lambda        AB|SDSS|SDSS_r            5600.294511062592     All      5.4744761968350655e-06     6.274723649588113e-07      0.0005316660167365911      2.2146983863529883e-05    
Lambda        AB|SDSS|SDSS_i            6791.335926455688     All      -0.0005920348377890889     -4.3818369054222024e-05    -0.0009612969915803871     0.0001356738699962065     
Lambda        AB|SDSS|SDSS_u            3259.3136944276707    All      -9.084060711273218e-05     8.701307296322374e-05      0.00034356862218271506     7.326468446742277e-05     
Lambda        AB|SDSS|SDSS_z            8074.332299943284     All      -1.1165562489610256e-05    9.001308572927436e-07      -2.0389617846381395e-05    3.0202982742504067e-06    
MWEBV         All|All|All               All                   All      -0.8327909148789154        -3.4721470692181455        0.8113897787051942         -0.8235165324614392       
Redshift      All|All|All               All                   All      3.9536564361426354         0.38150533705128           -8.569204253014211         -1.545971362134952        
