#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7674.231090694279     All      0.07056225872800032        0.0031473407526405595     0.023448459211161676       -0.020912859629781955      
Zeropoint     AB|SDSS|SDSS_u            3097.8074172496167    All      -0.13241569628446825       0.04480728002089762       0.0957383242281562         0.061999715545479894       
Zeropoint     AB|SDSS|SDSS_r            5322.787403008289     All      0.7248445950795491         0.2788546044534712        -0.5687594552201691        -0.17065473485056715       
Zeropoint     AB|SDSS|SDSS_g            4073.454579323086     All      -0.5369751098722164        0.5869266896842973        0.2253437992705276         0.3761478501812951         
Zeropoint     AB|SDSS|SDSS_i            6454.810054637133     All      0.8708648723657866         0.08362612371453082       0.22434987964654596        -0.24641785509435798       
Check         All|All|All               All                   All      0.9968809200166514         0.9973620386258375        0.00012100713622231751     0.00016211615206790375     
Lambda        AB|SDSS|SDSS_z            7674.231090694279     All      -2.5151479703672972e-06    3.625909419935937e-07     3.6399840327225436e-05     2.561731933938364e-06      
Lambda        AB|SDSS|SDSS_u            3097.8074172496167    All      -0.00010636778515318529    3.6096146695935836e-05    -4.50948172248738e-05      4.43928149476591e-05       
Lambda        AB|SDSS|SDSS_r            5322.787403008289     All      9.84490763642629e-05       4.6537134371032786e-05    -0.00021481722871804812    -2.6495733657199584e-05    
Lambda        AB|SDSS|SDSS_g            4073.454579323086     All      -0.0004593591657013784     0.0003191301635515608     -0.0013436497035247388     0.000193618670967443       
Lambda        AB|SDSS|SDSS_i            6454.810054637133     All      -9.990931499237749e-05     -9.342056799414669e-06    0.0001757420090393474      3.734329427731382e-05      
MWEBV         All|All|All               All                   All      -0.9146563460770021        -3.296730560864347        0.018940101722408897       -0.7750747299190147        
Redshift      All|All|All               All                   All      4.623960616388342          -0.35388301859331506      -1.9073130055374587        -1.7065620575701268        
