Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 55833.57904757491 0.5254601617768678
Redshift 0.020914 0 F
Color -0.038869966099016245 0.033444999790158
X0 0.01281306281979668 0.0004818150101251481
X1 0.1844324520776292 0.8878352412001367
RestFrameMag_0_UX 14.936424696808958 0.0
RestFrameMag_0_B 15.3742099399354 0.0408273968407094
RestFrameMag_0_V 15.388743009413098 0.0
RestFrameMag_0_R 15.423332000945392 0.0
CovDayMaxDayMax 0.2761083816145721 -1
CovDayMaxRestFrameMag_0_B -0.003489904687309785 -1
CovDayMaxX1 -0.3106325501997108 -1
CovDayMaxColor -0.003720020777651233 -1
CovRestFrameMag_0_BDayMax -0.0034899046873097476 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0016668763327887678 -1
CovRestFrameMag_0_BX1 0.02627412119234581 -1
CovRestFrameMag_0_BColor 0.0008541500154686095 -1
CovX1DayMax -0.31063255019971026 -1
CovX1RestFrameMag_0_B 0.02627412119234585 -1
CovX1X1 0.7882514155169049 -1
CovX1Color 0.017378842418796763 -1
CovColorDayMax -0.0037200207776512057 -1
CovColorRestFrameMag_0_B 0.0008541500154686096 -1
CovColorX1 0.017378842418796735 -1
CovColorColor 0.0011185680109636685 -1

dmu_estimate 0.11974912209715394
FirstPhase  -3.8959673144919877
LastPhase  9.663157156326376
LatestNegPhase  -3.8702060848509814
EarliestPosPhase  3.6955634118960297
NightsNegPhase  1
NightsPosPhase  4

salt3source   1
salt2_version   salt3-f22
