Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 55872.21618002377 0.198245914470435
Redshift 0.028924 0 F
Color 0.0948269348479204 0.028097175000748823
X0 0.004754090865591803 0.00015567043270402547
X1 0.4250206032312621 0.36483289934914076
RestFrameMag_0_UX 16.15998683232866 0.0
RestFrameMag_0_B 16.45037176770604 0.03555191298937966
RestFrameMag_0_V 16.326757127128065 0.0
RestFrameMag_0_R 16.29264389823063 0.0
CovDayMaxDayMax 0.03930144260421903 -1
CovDayMaxRestFrameMag_0_B 0.0018031772317172149 -1
CovDayMaxX1 0.012924894328681007 -1
CovDayMaxColor 0.0003305620015997557 -1
CovRestFrameMag_0_BDayMax 0.0018031772317172207 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0012639385172044223 -1
CovRestFrameMag_0_BX1 0.01001742298798652 -1
CovRestFrameMag_0_BColor 0.0003634083701643125 -1
CovX1DayMax 0.012924894328680955 -1
CovX1RestFrameMag_0_B 0.010017422987986519 -1
CovX1X1 0.1331030444475003 -1
CovX1Color 0.0036967417014122815 -1
CovColorDayMax 0.00033056200159975273 -1
CovColorRestFrameMag_0_B 0.0003634083701643124 -1
CovColorX1 0.00369674170141228 -1
CovColorColor 0.0007894512430227046 -1

dmu_estimate 0.09277106176125015
FirstPhase  -9.00288070234249
LastPhase  13.970924943172617
LatestNegPhase  -3.809008268613591
EarliestPosPhase  2.198238136372718
NightsNegPhase  3
NightsPosPhase  7

salt3source   1
salt2_version   salt3-f22
