Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 56622.90332781254 0.1388943311868021
Redshift 0.013269 0 F
Color 0.08311965287558903 0.025156948516244962
X0 0.014291692887861128 0.00034945299139120436
X1 -2.380665009297143 0.16494831895458187
RestFrameMag_0_UX 15.07257927101129 0.0
RestFrameMag_0_B 15.255801280750125 0.026547853189367265
RestFrameMag_0_V 15.16995090753994 0.0
RestFrameMag_0_R 15.092976773635321 0.0
CovDayMaxDayMax 0.019291635235829073 -1
CovDayMaxRestFrameMag_0_B 0.0003635752725114342 -1
CovDayMaxX1 0.0021744207760866804 -1
CovDayMaxColor 4.940260910135712e-05 -1
CovRestFrameMag_0_BDayMax 0.0003635752725114342 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0007047885089641976 -1
CovRestFrameMag_0_BX1 0.002556455746403562 -1
CovRestFrameMag_0_BColor 0.0001934351599649704 -1
CovX1DayMax 0.0021744207760866796 -1
CovX1RestFrameMag_0_B 0.0025564557464035614 -1
CovX1X1 0.02720794792594247 -1
CovX1Color 0.0004588484884714867 -1
CovColorDayMax 4.940260910135711e-05 -1
CovColorRestFrameMag_0_B 0.0001934351599649704 -1
CovColorX1 0.0004588484884714867 -1
CovColorColor 0.0006328720586489996 -1

dmu_estimate 0.07941670586182972
FirstPhase  -11.849200767558097
LastPhase  29.890258349416314
LatestNegPhase  -1.2879381610852816
EarliestPosPhase  1.6500773116065233
NightsNegPhase  7
NightsPosPhase  11

salt3source   1
salt2_version   salt3-f22
